name,artists,album,release_date,popularity,duration_ms,explicit,preview_url,external_url,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Rodeo Clown,flipturn,Rodeo Clown,2024-09-26,56,201255,False,https://p.scdn.co/mp3-preview/5b8c06057ef3d1f4a4fb2522c4aa68230bb18703?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/1x1z2qHf13S4nD4ozEEH02,1x1z2qHf13S4nD4ozEEH02,0.652,0.831,0,-6.192,1,0.0314,0.0214,0.0445,0.107,0.601,111.989,4
If I Say,Mumford & Sons,Delta,2018-11-16,32,269867,False,https://p.scdn.co/mp3-preview/5f2633062fda488c2b75055835cb84e2b5825e07?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/2rZFotyQmbO5sDAXJQLZrb,2rZFotyQmbO5sDAXJQLZrb,0.434,0.458,2,-10.324,0,0.0347,0.273,0.0133,0.0924,0.0452,99.489,4
The Boxer feat. Mumford & Sons and Paul Simon,"Jerry Douglas, Paul Simon, Mumford & Sons",Traveler,2012-06-26,55,245106,False,https://p.scdn.co/mp3-preview/5134c62a1729b1c11d086b5b2dff280b2738cb03?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/1GXMLU8qafDOavxXIQPoag,1GXMLU8qafDOavxXIQPoag,0.491,0.372,0,-10.996,1,0.0317,0.677,5.61e-05,0.104,0.255,98.642,4
Be Yourself,Frank Ocean,Blonde,2016-08-20,63,86943,False,https://p.scdn.co/mp3-preview/f527bd2a1b2c9a67d409307c10a4c5f2c8a20eb5?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/1IdZvb2XK8NmsovQlV6CPn,1IdZvb2XK8NmsovQlV6CPn,0.746,0.429,7,-11.143,1,0.494,0.985,0.0,0.149,0.932,88.413,3
A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),2024-04-12,87,171291,True,https://p.scdn.co/mp3-preview/59f68f3e96233e3c352659053dd48039790cd965?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/2FQrifJ1N335Ljm3TjTVVf,2FQrifJ1N335Ljm3TjTVVf,0.722,0.709,9,-4.95,1,0.0273,0.0633,0.0,0.0804,0.604,81.012,4
Climate (feat. Offset),"BigXthaPlug, Offset",THE BIGGEST,2023-12-01,65,170106,True,https://p.scdn.co/mp3-preview/2cad5023288914528836f09acd58c8b7c4f45500?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/1c7MITQmNJTrvfbDSzWT6x,1c7MITQmNJTrvfbDSzWT6x,0.96,0.749,11,-3.881,0,0.251,0.0256,0.0,0.0889,0.703,124.563,4
Build Me Up Buttercup - Mono,The Foundations,Baby Now That I've Found You,1967-01-01,76,180133,False,https://p.scdn.co/mp3-preview/bf0881bd8c7eef444157aea54ce0b95e02b4ff6c?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/1tfZtA15BfJHQTUy3dqTKC,1tfZtA15BfJHQTUy3dqTKC,0.64,0.664,0,-4.73,1,0.0289,0.196,0.0,0.31,0.879,134.002,4
The Outsiders,Kweku Collins,Nat Love,2016-04-08,20,251548,True,https://p.scdn.co/mp3-preview/502fb48e28d915e5ad108f0b3115dd8b9b507530?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/22ocpZjtd7HSxVPZqPfE4T,22ocpZjtd7HSxVPZqPfE4T,0.674,0.719,8,-6.51,1,0.0436,0.435,0.000308,0.113,0.293,90.483,3
Blue Notes,Meek Mill,DC4,2016-10-28,65,227808,True,https://p.scdn.co/mp3-preview/09545a8b9e5b9c5090717b6a7f34d779dfa3b4a9?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/7Gs3otHnZDq514kFHf0nx7,7Gs3otHnZDq514kFHf0nx7,0.515,0.431,4,-8.251,1,0.257,0.665,0.0,0.147,0.184,141.392,4
Running Back (feat. Lil Wayne),"Wale, Lil Wayne",Shine,2017-04-28,43,215360,True,https://p.scdn.co/mp3-preview/93fc4a8796f7b9057ba681b2bdeef5fe822f6a75?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/2h3i5tGUl6hMu572umjcGo,2h3i5tGUl6hMu572umjcGo,0.587,0.671,2,-4.48,1,0.144,0.0823,0.0,0.161,0.1,127.133,4
