name,artists,album,release_date,popularity,duration_ms,explicit,preview_url,external_url,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
WYA,"Leah Kate, 24kGoldn",WYA,2024-11-08,40,131124,True,https://p.scdn.co/mp3-preview/510239c5ea08adc8c67c0afa0627d6c2b295fcee?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/19d6ySq61vARL7hayVuoWZ,19d6ySq61vARL7hayVuoWZ,0.672,0.979,6,-3.492,1,0.0649,0.0878,0.00191,0.264,0.928,157.984,4
Fall This Way,Braxton Keith,Fall This Way,2024-11-08,42,215000,False,https://p.scdn.co/mp3-preview/a888e59e7b8735cfa40e8a07cc86f7686bdb907c?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/5AeR3j18cKWueAh42yKkFE,5AeR3j18cKWueAh42yKkFE,0.432,0.509,11,-8.248,1,0.0436,0.187,0.0,0.0757,0.37,76.135,4
Future Us,Litany,Future Us,2024-11-08,31,189183,False,https://p.scdn.co/mp3-preview/c075ff01de77a28eca8d2a2532f7c15fdc1fbfb4?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/6TKxCDEHbUlUCs38tKwnfx,6TKxCDEHbUlUCs38tKwnfx,0.7,0.794,10,-5.595,1,0.0726,0.0161,0.0,0.366,0.546,131.992,4
Sua Preferida,"LUDMILLA, WIU, MC Kevin o Chris",Sua Preferida,2024-11-06,56,151636,False,https://p.scdn.co/mp3-preview/a36cd047e6054541701ac3ae31e1fa354f633c0b?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/0bREVcSAxXl3WgWsxzjJT1,0bREVcSAxXl3WgWsxzjJT1,0.778,0.588,8,-6.972,0,0.133,0.771,0.0,0.0763,0.538,140.007,4
Time To Go,Max Styler,Time To Go,2024-11-08,37,202380,False,https://p.scdn.co/mp3-preview/f25702caeaf93695adf62edce63b0811ff2869a6?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/12hypREWe3wQFb6xgAbwtT,12hypREWe3wQFb6xgAbwtT,0.659,0.967,8,-5.22,0,0.0614,0.0032,0.783,0.341,0.495,126.005,4
How The Game Go,STAR BANDZ,How The Game Go,2024-11-08,29,121566,True,,https://open.spotify.com/track/5EjrqJ7xSEmxDDV7C9Eata,5EjrqJ7xSEmxDDV7C9Eata,0.698,0.486,2,-7.531,1,0.436,0.105,0.0,0.209,0.154,175.072,4
South Beach Finest (feat. Jay Worthy & Kamaiyah),"Premo Rice, Harry Fraud, Jay Worthy, Kamaiyah",P Got Game,2024-11-08,31,205333,True,https://p.scdn.co/mp3-preview/dbef3b3122caceefe4688337927ca3a6eeb98848?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/7thsyAeDBVjJMsA175HdUp,7thsyAeDBVjJMsA175HdUp,0.694,0.679,11,-7.795,0,0.119,0.277,0.0,0.377,0.852,89.939,4
Bus Stop Please,"Fatboy Slim, Daniel Steinberg",Bus Stop Please,2024-11-08,41,215300,False,https://p.scdn.co/mp3-preview/f7d67ce1098af017c690b64416aaf6aaa9d27c9a?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/69qwWu8dQwaTABh5B9r8xn,69qwWu8dQwaTABh5B9r8xn,0.753,0.703,7,-4.129,1,0.191,0.016,0.0319,0.702,0.521,128.02,4
Turkey Leg,Certainly So,Probably Not,2024-11-08,27,311343,False,https://p.scdn.co/mp3-preview/b177e772e18f659312fca541a718c8843e48ce29?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/4iX8WFt1kAKkMOLpr8PVm6,4iX8WFt1kAKkMOLpr8PVm6,0.53,0.807,8,-6.943,0,0.0674,0.147,0.00104,0.0678,0.398,135.029,4
No Soy El Mismo,Gocho,No Soy El Mismo (Lado C),2024-11-07,28,146828,False,https://p.scdn.co/mp3-preview/883fbf58da6313f2f478e5c52a8c0f9f50bb753e?cid=ba885e55a755485696432cb609741279,https://open.spotify.com/track/43Cn4CVlpTBOseALvTsjUY,43Cn4CVlpTBOseALvTsjUY,0.715,0.85,1,-3.811,1,0.0591,0.091,1.16e-06,0.278,0.557,87.034,4
